PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,PC169,PC170,PC171,PC172,PC173,PC174,PC175,PC176,PC177,PC178,PC179,PC180,PC181,PC182,PC183,max_salary,min_salary
0.26787978,-0.22671361,-0.015143924,0.20776704,-0.13590948,0.034866948,0.13592821,-0.07153118,-0.18286467,-0.068760425,0.015730947,-0.07836336,0.04080745,0.18338566,-0.15755291,-0.08243016,0.104695864,-0.012464912,-0.069821574,0.009124432,0.0022164339,-0.04931967,-0.00483178,-0.0069142957,0.047097832,-0.15335919,0.088177286,0.088330224,0.10022294,-0.021049054,0.12283569,-0.032450352,-0.042384196,0.05200282,0.2657091,0.030287096,0.041459195,-0.027994346,-0.07737189,0.013267258,0.05617751,-0.055563416,-0.110799894,-0.008733764,0.005283288,-0.0346163,-0.108003475,-0.0917224,0.057512637,-0.028058331,-0.06478301,0.006982843,-0.05547488,-0.059224084,-0.03224698,-0.03775016,-0.015878452,0.0022965071,0.059255794,-0.026719788,0.08361935,-0.10830092,0.0664873,-0.07877352,0.022155944,0.04146133,0.034535483,0.04640516,0.015751453,0.04560211,0.020335492,-0.015017089,-0.01530625,0.0015291384,-0.0010106519,0.08748639,-0.08100297,0.007340767,0.018753292,-0.0052356133,-0.00033623783,-0.053919695,-0.09598479,0.007809176,0.0019749708,-0.0044152825,0.0366629,-0.020620817,-0.015513149,-0.029203663,0.0019502735,0.03558165,-0.015771482,0.004567748,0.04216645,0.016339457,0.05751367,0.007171692,-0.018819306,-0.018263973,0.009473108,-0.020776194,-0.067404345,-0.00054859737,-0.016170224,0.06636053,-0.039604545,-0.027479239,0.020218816,-0.0028932984,0.027596012,-0.0034023665,0.03307868,0.05432112,0.055773176,-0.035379477,-0.046607494,-0.016547337,-0.019950652,0.018140322,-0.01932892,0.011453989,-0.0073157344,-0.0150620155,0.038360074,-0.025972549,0.03566257,0.0006955106,-0.0030778549,0.026932534,-0.008998306,-0.02438368,-0.026404914,-0.023548936,0.014212392,0.007469862,0.052459,0.02267921,-0.002959673,0.021053676,-0.010598692,-0.016415918,-0.019327763,-0.0013662518,0.026955929,-0.03279296,-0.0035123187,0.0067863697,-0.04577175,-0.035001755,-0.00741378,-0.013178073,0.0057862243,-0.0072217835,-8.5710184e-05,0.045283787,0.0056479787,-0.039306182,-0.015496043,0.026450042,-0.023068523,-0.014943019,-0.005028069,0.030485885,0.03208309,0.046806324,-0.039994475,-0.013861056,-0.00022322696,-0.03063501,0.017989447,0.01555182,-0.014031607,0.0083849225,-0.003394594,-0.0030032243,-0.0035705618,0.011628508,-0.0007149396,0.035844237,-0.00083679124,0.020912753,-0.024111973,140000.0,120000.0
0.2426649,0.0456645,-0.012569128,0.19900054,-0.07733968,0.049915515,0.1509813,0.18794653,0.15946169,-0.040294956,0.033430547,-0.09348966,-0.01685017,-0.10352954,-0.113042906,0.049697235,0.061356284,-0.06191906,-0.025290448,-0.07978024,-0.08430776,-0.029050766,-0.011876373,-0.057781912,-0.011392017,-0.06929814,-0.090639025,0.05872874,-0.021171734,-0.06351052,0.0092910845,0.03490324,0.033803158,-0.08420627,0.037622824,0.037519705,0.022789573,0.03711457,0.04333269,-0.04650047,0.0032263915,0.022573788,0.04380154,0.06196674,-0.07469442,0.014055791,-0.032901544,-0.03298173,0.012043861,-0.07994487,-0.04516577,-0.100337386,-0.041569486,-0.0066752024,0.025287151,0.011140827,-0.08622029,0.050085556,0.061185427,0.10616667,-0.068457685,-0.08284883,-0.04187683,-0.012055047,0.0047905464,-0.0283843,0.033066954,0.027565407,-0.0043974253,-0.013997176,-0.011636937,0.01445548,-0.062099695,-0.022690248,-0.06948365,-0.01715876,0.017057877,0.06420639,-0.0945594,0.015099678,-0.004597035,0.017551767,0.11984887,-0.033343583,0.06490528,-0.019568745,-0.00011702341,-0.027633138,-0.063960865,-0.038314678,0.020415416,-0.01763863,0.013667423,-0.03944778,-0.01009279,-0.011986399,-0.019611191,0.016283685,-0.028832903,0.023532351,-0.02209414,-0.015782123,-0.019869024,0.005824758,-0.017365698,0.047769226,0.072288886,0.0669873,-0.012617463,-0.007816684,-0.021787457,0.015914464,0.07154677,0.0025826185,-0.007338935,0.09616712,-0.034354,-0.024182029,-0.023128388,0.039840743,0.044940352,-0.03977377,0.00587391,-0.028557086,0.007875189,-0.029916074,0.0227897,-0.0028306183,-0.027348801,-0.0031541109,0.016890272,0.033786777,-0.033243444,0.03595738,-0.019195357,0.0045492603,0.00095472194,-0.019803774,0.013309142,0.01624971,0.0011737637,-0.019784324,0.03170174,-0.027170984,0.0013737375,0.0031156242,-0.0473659,0.033113677,0.019143322,0.000176294,0.030970916,0.02240651,-0.06112599,-0.066627845,-0.035175074,-0.0010913643,0.022573715,-0.0195731,0.011739941,0.03939494,-0.029317506,0.003953483,0.052539207,-0.007581911,-0.013202135,-0.025674462,-0.020480454,0.024774631,0.059902366,0.0004595614,-0.038703807,-0.0659588,-0.017955659,0.01973074,0.023464411,-0.0078438055,-0.029803121,-0.025318993,-0.002065948,-0.042707484,-0.0018329447,-0.044888232,-0.011939004,90000.0,75000.0
0.18262352,-0.04775543,0.023394989,0.13574426,0.015786119,0.056478076,0.09507867,0.033775277,0.11486202,-0.1008572,0.12056708,-0.15152706,0.046039287,0.15869734,0.08574512,-0.05679202,-0.08633542,0.1078929,0.10643248,0.08612817,0.13946748,0.0932403,0.032837197,-0.04555059,-0.07925396,-0.05218735,0.06945909,0.040749535,0.06850647,0.16269776,-0.09258552,-0.04151158,-0.022412108,-0.0383189,-0.016758634,0.026963275,0.05111973,-0.1978972,0.026607499,-0.022899097,0.07740329,-0.055417147,0.052689012,-0.067339525,-0.004001149,0.07582466,0.017889306,-0.026164759,0.028138136,-0.07949322,0.058137454,-0.08221764,0.012510458,-0.07678087,-0.12185185,-0.11475534,0.06381642,-0.09718592,-0.06418679,-0.014188663,0.02344682,-0.031795505,0.0045867516,-0.014578371,-0.021829499,-0.06104038,0.06826998,-0.02973873,-0.012927438,-0.0019882142,-0.046931155,-0.0095151495,-0.030554475,0.0086554615,0.045386177,-0.013466435,0.018723378,0.03649121,-0.0073902137,-0.090717845,-0.08921058,0.039316844,0.10456907,0.10845398,0.07525493,-0.013978284,-0.11140346,-0.08937471,0.009034873,0.010894933,0.054311756,-0.07390521,0.025819672,-0.054160442,-0.061153736,-0.0812192,-0.039363477,-0.02052893,0.0004407122,-0.09978658,0.00724336,-0.03243288,0.09822009,0.008389235,0.0026006384,-0.10001736,0.10079762,-0.08820041,-0.016372828,0.0021440564,-0.015143154,0.016190931,-0.01259875,0.0025602994,0.057530023,-0.061499033,-0.06524502,-0.013965642,0.02692666,0.038803857,-0.051124457,-0.010308512,-0.031519677,0.056586675,-0.031726815,0.009087691,0.01273573,-0.070127524,-0.028419698,0.031186564,0.051247876,-0.04780521,0.037249275,0.07321081,0.01219763,0.018485649,-0.027262514,0.04776567,0.0010504135,-0.027083203,-0.019699989,0.032149594,-0.053228308,0.0056177815,-0.041082487,-0.043869846,-0.028369663,0.038436726,-0.054463454,0.007322917,0.00026315512,-0.02568704,0.012280585,-0.012391595,0.004777555,-0.035875034,-0.005099592,0.011617749,-0.015446076,0.039466027,0.0081117265,-0.009771735,-0.023429109,-0.058425613,-0.03792954,-0.03517174,-0.011256646,0.008050552,0.032715656,-0.0014140937,-0.02152618,-0.007984475,-0.021291526,-0.034313515,0.01560217,-0.0051184767,-0.01982927,-0.019230494,0.008101751,-0.015518587,0.021828407,0.011050406,-0.004195929,94000.0,81000.0
0.35772267,0.15843871,-0.06123439,0.22403194,0.050316177,-0.034794617,0.030573167,0.09144161,-0.17194343,-0.040686093,-0.020936664,0.1601232,-0.07015642,-0.21429129,-0.025962858,-0.11454165,-0.0034288275,0.10074772,-0.04190074,-0.030935954,0.026206901,-0.0022342023,-0.05797291,-0.029358447,0.0699813,0.08044172,-0.00038074097,0.02854268,-0.06392102,0.021001933,0.017139303,0.026739398,0.034869004,-0.045799606,0.066244,0.04485948,-0.011276929,-0.011026317,0.051052377,0.04571324,-0.04534868,-0.039150376,-0.0033356152,-0.044711806,0.0748021,-0.005840652,0.029405087,-0.0023457336,0.024938237,0.0050436817,-0.11103422,-0.01443186,0.11210198,0.053356953,-0.027503401,-0.007158887,0.013626023,-0.051614348,-0.00012655996,0.07338081,0.03702359,0.007098672,-0.051316764,-0.036206424,-0.018932743,-0.06964757,-0.04306254,-0.012853546,-0.020632155,0.0143577,0.042620827,0.025762076,-0.021560354,0.03901305,0.053452324,-0.0128831165,-0.0007678937,0.016760578,0.027575906,-0.02751881,0.019446453,-0.02575126,0.04291828,0.026645178,-0.10135428,0.028201222,0.0016762782,-0.0009871979,-0.03951935,0.048066616,0.048278555,-0.0054691993,0.02151147,0.05547818,0.026960509,0.03409972,0.0007514917,0.026044779,0.043526392,-0.03825981,-0.0035313067,0.048068438,-0.019512907,-0.005372766,-0.027478542,-0.029682154,0.051597644,-0.038311973,0.04178024,-0.03162217,0.02518345,-0.03012103,0.015302008,0.049312796,-0.008697942,-0.0058615017,-0.040002078,-0.058280386,-0.005737187,-0.02655923,0.012842179,-0.001953554,0.014271783,0.042096615,0.02837181,-0.023956643,-0.013620059,0.013288131,0.012365029,-0.040976018,-0.018927285,-0.03053373,-0.0068931417,0.016583182,0.024076719,0.009525878,0.018427,-0.015198404,-0.045193985,0.02149904,0.034755927,0.08707413,-0.06524012,0.020629892,-0.037418347,0.02029609,0.0070543857,0.01332911,-0.018098852,0.044304438,0.032557264,-0.044519976,-0.033065155,0.024470845,0.0073795016,-0.016277654,-0.01875779,0.015820326,0.035057567,0.03867687,-0.004129386,0.017676976,0.0008257171,0.05797627,-0.011300797,-0.024613868,0.023917671,-0.05974294,-0.016353948,0.014894056,-0.006439609,0.028552476,0.03565043,-0.0068582944,0.03170011,-0.03069215,-0.006568639,-0.036015145,-0.038326744,-0.0026294638,0.04611461,-0.019226728,0.03587675,85000.0,75000.0
0.03703971,0.22956474,-0.21637933,-0.045276135,-0.004530766,0.06377626,-0.07886373,0.13893846,-0.0074929856,0.23102272,0.16021977,0.08966959,-0.043134008,0.070861,-0.16460735,0.18380693,-0.004968781,0.103993885,-0.09826218,0.114918314,-0.15107943,-0.017752942,-0.0289633,-0.0049910466,-0.019254956,-0.01143253,0.038455218,0.078225374,0.012754944,-0.13786262,0.035657007,-0.053165972,-0.004771709,0.07717167,0.010912329,0.030471267,0.09635141,-0.062637694,0.055761833,-0.005426627,0.02687622,-0.044617847,-0.04353119,-0.058570895,-0.04666822,-0.018723307,-0.096011184,0.03613616,-0.029164866,-0.106532715,-0.048096336,-0.020146972,-0.058681462,0.0049659866,0.034726094,-0.017835323,0.08103914,0.033929266,-0.07725264,0.015676096,0.036409337,-0.020339591,0.041396897,0.031971764,0.008649914,-0.0854157,-0.0004216042,-0.03588576,-0.10781016,-0.03424593,0.005351675,-0.02026943,-0.08961214,0.04331773,-0.03298498,-0.0133372145,-0.0053794733,0.0064149024,0.017795876,0.015402096,-0.008891185,-0.017450336,-0.061306886,0.061131313,-0.064586475,0.025693646,-0.04123281,-0.0015333897,0.09738128,0.031972975,-0.016052632,-0.01759185,0.02986147,0.08099463,-0.031029405,-0.05989098,0.039177775,-0.0024258478,-0.023229849,-0.03262218,-0.0012681874,-0.0060645575,0.0021831705,0.01952745,-0.02117983,0.03868117,0.08398115,-0.003819306,0.015353204,-0.0058752014,-0.076753035,6.28802e-05,0.0043580364,-0.039220147,-0.034531277,-0.027322741,-0.009003517,0.038997926,-0.024431482,-0.0074997423,0.012277695,0.040408105,0.018363249,0.0104191685,0.012185101,-0.0024476042,-0.011500493,-0.016278083,0.016188467,-0.016797688,0.028296046,0.011236892,0.014702448,0.026976964,-0.018590953,-0.0018955722,0.03700517,0.007648188,-0.02415994,-0.009771498,-0.04583195,0.012771645,0.005300505,-0.030051695,-0.034679014,-0.0079906145,-0.008964026,0.0058280835,0.012607748,0.011882183,-0.012041658,0.039603285,-0.013176009,-0.012667937,-0.0030661295,0.021391213,0.02968526,-0.017240886,0.0051838984,-0.002106898,-0.02802031,0.019473897,0.004589835,-0.01639698,-0.010962665,0.025249831,0.0064716614,-0.009656349,-0.033933736,-0.030765269,0.020488055,0.025754096,0.0055084606,-0.026048603,-0.004986854,-0.026014332,0.018850276,-0.019078078,0.008133023,-0.02820478,-0.027703403,0.0009960176,0.0029856965,85000.0,35000.0
0.33363172,-0.16010754,-0.15186155,-0.17056124,-0.31425557,-0.039186813,-0.15460321,-0.091357745,0.05859688,0.23914222,-0.10879981,-0.20127742,-0.096805245,-0.092639014,0.013691866,-0.050468713,0.19227695,-0.029069075,0.07603494,0.0797991,-0.016414072,0.01455555,0.04116328,0.030631877,0.06650142,-0.045917846,-0.016026996,-0.040357623,-0.07834365,-0.113304995,0.019934878,-0.025283702,-0.052220408,0.099549055,-0.047269195,0.003880985,-0.006211542,0.04698351,0.101991765,-0.04619392,-0.076522484,0.022154452,0.0067885136,0.011637887,-0.0042740055,-0.024318714,-0.036851645,0.00080206135,0.002126414,-0.06090993,0.027634785,-0.0307498,-0.08468564,0.037017796,-0.064148106,0.0643392,-0.01977685,0.032402325,-0.01803327,-0.02004083,-0.04316266,-0.014737812,0.01467044,-0.030322937,0.06608373,-0.035935055,0.054303404,-0.04247538,0.03729334,-0.015247884,0.03473246,-0.0042696213,0.032894265,0.0762601,0.024409946,-0.038972083,0.07959687,-0.0045191576,0.018822951,0.010421913,-0.026846826,-0.022493497,0.081908986,0.037393633,0.05482228,0.008272192,0.0013924943,-0.03481388,-0.017725,0.055399816,0.014171286,-0.015878744,0.009540045,0.022925142,-0.003710211,-0.029186249,0.01759446,0.013509886,-0.06237246,-0.020735737,-0.034205772,-0.039363176,0.009655004,-0.048444647,-0.057572175,-0.03450407,-0.045949172,-0.06575261,-0.034694772,-0.0043175807,-0.0009136333,0.029058961,-0.016223006,-0.007294938,0.051574208,0.0030142192,0.015803691,0.005511591,-0.010473437,0.043741763,0.03992202,0.0141703915,-0.038268715,-0.015255762,-0.052986577,-0.035619568,-0.04256443,-0.041178923,-0.015087342,0.05240412,-0.026995525,-0.058699366,-0.05482208,-0.0020207586,-0.035374794,-0.031512283,-0.041115925,-0.042103365,0.047817327,0.00033556606,-0.04267935,0.033315837,-0.05165015,-0.041338105,-0.019772466,-0.0027817888,-0.015972516,-0.020088503,-0.013355596,-0.024011446,-0.03868602,0.011691129,-0.040874947,0.011604306,-0.039812252,-0.010102655,-0.0102696335,-0.00581247,-0.028869106,-0.036462747,-0.016229322,-0.041765273,0.020915989,-0.011948574,-0.00574098,0.0030699288,-0.011569748,-0.018897017,0.0062732473,0.012314334,0.021399265,0.02315818,0.008504919,0.0539118,0.008710203,-0.051803987,0.024067402,0.030433381,0.002141085,-0.007317392,0.04023487,-0.02804621,0.012979374,170000.0,140000.0
0.24904554,0.028456595,-0.017347733,-0.04531414,-0.12987158,-0.06966007,-0.09098845,-0.1436015,0.044725798,0.12964587,0.13662323,0.14060967,-0.01689746,0.06158455,0.14753667,-0.016213182,0.06958957,-0.1867069,-0.071928754,-0.120643616,-0.015053784,0.008561444,-0.016478794,-0.021498218,-0.015972309,-0.011646311,0.028230006,-0.013498448,0.12277158,-0.01113456,0.0035725248,-0.048913922,-0.009122704,0.14257029,0.06576501,-0.015544495,0.0022578218,0.08770845,0.071810044,-0.033629958,0.031150052,0.12201114,0.014585818,-0.0018553722,0.09769363,-0.04991293,-0.03658137,0.056603134,0.06910954,0.03572747,-0.022955298,0.020946579,0.08531815,0.051701304,-0.14035493,-0.00082961406,-0.022193708,-0.024660986,0.0061011175,-0.08476521,0.036424376,0.0016049217,-0.05608138,-0.042631947,-0.004597466,0.07166119,0.023784375,-0.06063546,0.05785667,-0.08992974,0.0044987784,0.0121624,0.04792822,0.036899246,-0.06246109,-0.036097996,-0.04017522,0.008799814,-0.00017943828,0.03558241,0.026859984,0.113101676,0.036387403,0.086201556,0.016410155,0.03454439,0.15071805,-0.072405875,-0.03964442,-0.00073593075,-0.023149755,0.0069959657,0.02480256,0.02605464,0.01545628,0.025119457,0.025712952,-0.008468634,0.04660777,-0.0047643757,0.04230136,0.049106512,0.016961835,0.033190083,-0.021443347,0.00026399107,-0.030510537,0.08084374,0.019812271,-0.040842224,-0.007339237,-0.061579946,0.026468245,0.0265018,-0.02571675,0.01541111,0.050163347,0.009591901,-0.009154785,0.041348245,-0.037998553,-0.013630016,0.00921721,0.015507583,-0.08205856,0.019070046,0.044686534,0.0011194614,0.02073198,0.017489213,-0.034331914,-0.032653917,0.053475518,0.049510438,-0.0046757446,0.009745053,0.05568918,0.05242118,-0.006494807,0.055190396,-0.016003955,-0.01138208,-0.026261883,0.037900407,-0.011755581,0.044861406,0.003409863,-0.005519038,0.03879782,-0.005687928,-0.042197347,-0.019699352,-0.004007719,-0.017959397,0.0044248467,-0.02195087,-0.03202042,0.016907142,0.038036976,-0.023378665,0.0048101377,0.012372745,0.018025815,0.013591014,-0.015375327,0.02494895,0.013144243,0.011449963,0.006316223,-0.010955565,-0.044557706,-0.06353866,0.012617769,-0.023082,0.027351972,-0.025685,-0.024558416,0.012816851,-0.037062414,-0.039120596,0.016953029,-0.04338746,-0.002840684,195000.0,190000.0
0.05093332,0.04898264,0.029065683,0.30178052,-0.12357724,0.1972252,-0.040115315,-0.04590194,-0.06267768,-0.08635352,-0.07810563,0.00824404,0.060952444,-0.061381064,-0.012172372,0.15636292,0.12228172,0.021501902,0.14671838,-0.038397744,-0.024263794,-0.071985476,-0.08385741,-0.09539423,0.007885074,-0.0031529642,0.13341436,-0.029773712,0.049197745,0.02905116,0.05808614,0.05792375,0.09758303,-0.06601126,0.06876438,0.041253977,0.02783425,0.09591614,-0.043193113,0.007442714,0.027157255,0.023324307,0.09055204,-0.0057576285,0.06417559,-0.02741562,0.042207994,0.036194842,0.022021342,0.027690634,0.06258669,-0.006449028,0.06257565,-0.004218058,-0.0017697109,0.051099747,0.07299855,0.039407443,-0.045655955,-0.08835851,-0.0028091094,0.069843195,0.07048477,0.032628205,0.0365107,0.04443635,-0.11059431,0.038295355,0.0691773,-0.0031720146,0.036714606,-0.0052009188,-0.030525284,-0.07377659,-0.051680762,-0.048379593,-0.11100784,0.06487849,0.0710174,0.069590695,-0.02506443,0.06793085,0.13516292,0.05993783,0.08756019,0.010267063,0.038446315,-0.08985662,0.027087077,0.010387452,0.0783042,0.05508504,-0.008964716,0.04671359,-0.017943375,-0.017597662,-0.0055528264,0.014963831,-0.011103178,0.02561521,0.010790747,0.011303181,-0.023507146,0.021644702,-0.013901395,0.018133173,-0.015714126,-0.03920041,-0.07333066,0.004378761,-0.008566443,-0.002238738,-0.019766666,-0.035325527,-0.008780334,-0.027328838,-0.009038051,0.008786236,-0.03398159,0.032016847,0.012756363,-0.01694018,0.05805441,0.060517814,0.03945117,-0.03377174,-0.02323363,-0.03450511,-0.025143886,-0.03600373,0.021701181,0.0030531029,0.0105820615,-0.0013798915,0.036551118,0.015182257,-0.01118438,-0.081904,-0.013381616,-0.026152207,0.029051505,0.01950614,0.0040601115,0.025341535,0.050502487,-0.005955454,-0.056807403,0.014395541,0.0058969776,0.0003855695,0.033424493,0.018883707,-0.0057168007,0.010963604,0.03956943,0.044789746,-0.016359929,0.023984477,-0.03151394,0.024838133,0.013712091,0.03451981,0.0097559085,0.011078431,-0.004777373,0.018090932,0.010728413,0.035157777,-0.017967023,-0.03454136,-0.021027334,-0.020393724,-0.0112877255,-0.009023418,0.0055643264,0.032069646,0.02872011,0.021077571,0.0036139665,-0.009323401,-0.013147385,0.008353257,0.0048474097,100000.0,80000.0
0.02102186,0.0074738367,0.04327366,0.23696548,0.1702481,-0.07952946,0.08395487,0.10302147,0.0793542,-0.09807264,-0.09936664,-0.075345665,0.11104368,0.07291016,0.0109057715,-0.010613781,-0.0007542883,-0.06655522,-0.048833013,-0.0040222597,-0.0637174,-0.097126774,0.055151477,0.044034798,0.024198322,0.14536674,0.007420741,0.0005051224,0.06135225,0.01044019,0.014564063,-0.07358048,0.03293562,-0.04327651,-0.1356887,-0.030961584,-0.040811207,0.006680433,0.0030006035,-0.013981241,-0.05624299,0.009320631,0.1053112,-0.0032604618,0.068629675,0.014297852,0.017009284,0.13736583,-0.024640923,0.017857883,-0.08694539,-0.040891808,-0.030049369,0.030400975,0.07867323,0.01168064,-0.010740344,0.0054957126,-0.09273467,0.004608845,0.025819425,-0.0382622,-0.058234986,-0.10096504,-0.06841373,-0.066475414,0.05823264,-0.15825918,-0.03975578,-0.007069868,0.0064028944,-0.09414492,0.05580288,-0.022711404,0.00020633909,-0.076011755,-0.04875029,0.03565449,-0.07963515,0.041997455,0.07094356,0.014004111,-0.061316777,-0.027961254,-0.10214017,0.0014669354,0.03999578,0.046294827,0.0020887472,-0.01854718,-0.09015483,0.05586229,0.007955685,0.049639273,-0.013984443,-0.016261792,-0.01830347,-0.038935035,0.062899016,-0.032518946,-0.06982623,-0.066658884,0.05357704,0.08518235,-0.018735277,-0.08541278,0.04395365,0.01815052,0.057992317,0.026728446,0.0066361446,0.016044172,0.057421517,0.03537682,-0.031673364,0.0044497172,-0.008569338,0.02036677,-0.017228603,0.018476715,0.018838754,-0.014123845,0.013114851,-0.040938172,0.007601551,-0.029477999,0.008266897,-0.05225175,0.042469423,-0.011556639,-0.06384718,0.013316036,0.004535504,0.015107998,0.0007406456,0.009904864,0.018521005,-0.0214396,-0.008117087,0.0025535964,-0.018177878,-0.018558847,0.06476352,-0.011677564,0.049541034,-0.048385512,0.002641641,-0.04796293,-0.0030055624,-0.0013208252,-0.03738162,0.03556261,0.049373668,0.03908893,0.0011299808,-0.000588788,0.024539152,-0.018213617,0.0014106558,-0.017703082,0.0048294663,0.0139164245,-0.023921922,-0.0075682374,0.022722555,-0.038488705,-0.053367313,-0.03299726,0.004216875,0.028257899,-0.031482644,0.017857308,0.021190895,-0.0064431042,-0.028826697,-0.01867349,-0.023461979,0.009489332,-0.027684445,0.012917689,-0.0010025183,0.023039766,-0.026836261,230000.0,130000.0
0.3793701,0.1727183,-0.13951659,0.071236216,-0.13048674,0.06271651,0.001657195,0.00032429036,-0.023810863,-0.12041718,-0.0726114,0.071308784,-0.25521883,-0.08618155,0.051147047,-0.13285407,0.012151127,0.026301403,0.13274571,-0.043178137,-0.029388791,-0.022419747,-0.021872463,0.08726399,-0.07561022,0.035314675,-0.07070091,-0.00142169,-0.06800234,0.0013020922,0.031113802,-0.056505043,-0.019043518,0.052260913,-0.04000137,0.019278761,0.04185839,0.014021943,0.029136471,0.024813795,-0.08168152,-0.025825914,0.0022332112,-0.018608939,0.07399988,0.061534654,0.033527214,-0.030799,0.022760954,-0.028430488,-0.036677957,-0.036205914,0.057206016,-0.012145052,-0.021370366,-0.00031935112,-0.037938137,0.0059456746,-0.021852778,0.05139369,-0.029669845,-0.075583644,-0.0102555165,-0.022531938,0.03184383,-0.04360432,-0.026780613,-0.019545224,0.056519065,0.041669358,-0.00022070053,0.024309989,0.020587282,0.037884306,-0.055856306,0.06422338,-0.03740165,0.023205306,-0.024184745,-0.013965198,0.011137198,-0.039235283,0.05304664,0.031774625,-0.0153783085,0.05677946,0.02915262,0.0099182855,-0.04824884,-0.03192142,0.03182789,0.004955818,-0.005691724,0.004219139,-0.028833397,-0.0034219192,0.009554783,-0.0374325,0.040546436,-0.012367084,-0.012329265,0.0006388613,-0.014983063,-0.041701246,0.017988348,0.038397335,0.0026638561,0.050721414,0.01178338,0.0060250466,0.00956768,0.03579546,0.0734359,0.015381778,0.014211834,0.010580911,-0.0019145029,-0.04669036,-0.029980432,-0.028913118,-0.016188348,-0.05142216,0.018839218,-0.012632035,-0.014525445,-0.027013972,0.048598476,-0.030702557,-0.013402982,0.015014867,-0.017782036,-0.02040879,-0.017958483,0.012470427,0.0020942558,0.045304213,-0.00052928523,-0.023709636,0.021041783,0.00874661,-0.012767477,0.010210375,0.006302521,0.009384404,-0.00086496014,0.009700538,-0.005229488,-0.0045352587,0.02277761,0.02616015,0.011071735,0.011846425,-0.009281276,0.0027819509,-0.041005258,0.0030822323,-0.011543701,-0.027841786,0.007953029,0.0059229666,0.003242059,-0.01517408,0.032003194,-0.0027152551,0.030173773,0.021180816,-0.007225863,0.022131618,-0.014877408,0.011812352,-0.022121396,-0.028995922,-0.020079412,0.010607557,0.016497912,0.054918144,0.008727002,0.008474848,0.023582665,-0.021754043,-0.014406168,0.0028180277,0.020814765,115000.0,85000.0
